Bhead	Btail	100.00	55	0	0	31	85	39736	39790	2e-26	 109
Bhead	Btail	100.00	12	0	0	267	278	8655	8666	0.83	24.3
Bhead	Btail	100.00	11	0	0	197	207	4770	4780	3.3	22.3
Bhead	Btail	100.00	11	0	0	4	14	24188	24198	3.3	22.3
Bhead	Btail	100.00	11	0	0	171	181	31130	31140	3.3	22.3
Bhead	Btail	100.00	11	0	0	22	32	34513	34523	3.3	22.3
Bhead	Btail	100.00	11	0	0	101	111	37830	37840	3.3	22.3
Bhead	Btail	100.00	11	0	0	172	182	37909	37919	3.3	22.3
Bhead	Btail	100.00	11	0	0	109	119	39904	39914	3.3	22.3
Bhead	Btail	100.00	11	0	0	108	118	46463	46473	3.3	22.3
Bhead	Btail	100.00	11	0	0	121	131	60506	60516	3.3	22.3
